Date,Team1,Team1_score,Team2,Team2_score,team1_fouls,team2_fouls,team1_yellow_cards,team2_yellow_cards,team1_red_cards,team2_red_cards,team1_offsides,team2_offsides,team1_won_corners,team2_won_corners,team1_saves,team2_saves,team1_possession,team2_possession,team1_shots,team2_shots,team1_avg_wins,team1_avg_draws,team1_avg_gd,team2_avg_wins,team2_avg_draws,team2_avg_gd,team1_lineup,team2_lineup,avg_age_t1,avg_gpa_t1,avg_apa_t1,avg_ycpa_t1,total_minutes_t1,avg_age_t2,avg_gpa_t2,avg_apa_t2,avg_ycpa_t2,total_minutes_t2
20180617,Brazil,1,Switzerland,1,12,19,1,3,0,0,1,0,7,2,1,3,54%,46%,20 (4),6 (2),0.8,0.2,1.8,0.6,0.4,1.8,1 Alisson_3 Miranda_2 Thiago Silva_12 Marcelo_14 Danilo_5 Casemiro  _11 Philippe Coutinho  _15 Paulinho_9 Gabriel Jesus_10 Neymar_19 Willian,1 Yann Sommer_5 Manuel Akanji_22 Fabian Schär  _13 Ricardo Rodríguez_2 Stephan Lichtsteiner  _15 Blerim Džemaili_10 Granit Xhaka_11 Valon Behrami  _9 Haris Seferović_14 Steven Zuber  _23 Xherdan Shaqiri,28.285714285714285,0.1830328088990891,0.13579337151722123,0.11237598900371291,24036.0,0.0,0.0,0.0,0.0,0.0
20180618,Sweden,1,South Korea,0,20,23,1,2,0,0,1,0,6,5,0,3,52%,48%,15 (5),5 (0),0.2,0.4,-0.2,0.2,0.2,-0.6,1 Robin Olsen_4 Andreas Granqvist  _18 Pontus Jansson_6 Ludwig Augustinsson_2 Mikael Lustig_8 Albin Ekdal_7 Sebastian Larsson_10 Emil Forsberg_17 Viktor Claesson  _20 Ola Toivonen_9 Marcus Berg,23 Jo Hyeon-Woo_19 Kim Young-Gwon_20 Jang Hyun-Soo_6 Park Joo-Ho_2 Lee Yong_16 Ki Sung-Yueng_13 Koo Ja-Cheol_17 Lee Jae-Sung_9 Kim Shin-Wook  _7 Son Heung-Min_11 Hwang Hee-Chan  ,28.25,0.08439623673124892,0.11773149397712997,0.09688765074651091,24597.0,0.0,0.0,0.0,0.0,0.0
20180618,Belgium,3,Panama,0,17,18,3,5,0,0,1,3,9,3,2,3,60%,40%,15 (6),6 (2),0.8,0.2,2.2,0.2,0.2,-1.4,"1 Thibaut Courtois_20 Dedryck Boyata_5 Jan Vertonghen  _2 Toby Alderweireld_6 Axel Witsel_7 Kevin De Bruyne  _11 Yannick Carrasco_15 Thomas Meunier  _9 Romelu Lukaku  
 _10 Eden Hazard_14 Dries Mertens  ",1 Jaime Penedo_4 Fidel Escobar_5 Román Torres_6 Gabriel Gómez_15 Érick Davis  _2 Michael Murillo  _20 Aníbal Godoy  _11 Armando Cooper  _21 José Luis Rodríguez_8 Édgar Bárcenas  _7 Blas Pérez,27.428571428571427,0.1136043515972166,0.1652340508935465,0.07097651736209208,32482.0,0.0,0.0,0.0,0.0,0.0
20180618,Tunisia,1,England,2,14,8,0,1,0,0,2,3,2,7,5,0,40%,60%,6 (1),17 (7),0.4,0.4,0.2,0.6,0.4,0.8,22 Mouez Hassen_4 Yassine Meriah_2 Syam Ben Youssef_17 Ellyes Skhiri_12 Ali Maâloul_11 Dylan Bronn_9 Anice Badri_13 Ferjani Sassi  _23 Naïm Sliti_8 Fakhreddine Ben Youssef_10 Wahbi Khazri,"1 Jordan Pickford_5 John Stones_6 Harry Maguire_2 Kyle Walker  _8 Jordan Henderson_20 Dele Alli_7 Jesse Lingard_18 Ashley Young_12 Kieran Trippier_9 Harry Kane  
 _10 Raheem Sterling",25.714285714285715,0.09888856003838582,0.0592020592020592,0.06568459948250889,12536.0,26.857142857142858,0.05612244897959184,0.19265471295088019,0.06657978286898147,12472.0
20180619,Colombia,1,Japan,2,15,9,2,1,1,0,2,1,3,6,4,2,42%,58%,8 (3),14 (6),0.4,0.4,0.8,0.2,0.2,-0.6,1 David Ospina_3 Óscar Murillo_23 Davinson Sánchez_17 Johan Mojica_4 Santiago Arias_20 Juan Quintero  _6 Carlos Sánchez  _16 Jefferson Lerma_9 Radamel Falcao_21 José Izquierdo_11 Juan Cuadrado,1 Eiji Kawashima  _3 Gen Shoji_22 Maya Yoshida_5 Yuto Nagatomo_19 Hiroki Sakai_10 Shinji Kagawa  _17 Makoto Hasebe_7 Gaku Shibasaki_15 Yuya Osako  _14 Takashi Inui_8 Genki Haraguchi,26.125,0.07264921171171171,0.12444095881595882,0.0754021879021879,9005.0,0.0,0.0,0.0,0.0,0.0
20180619,Poland,1,Senegal,2,8,15,1,2,0,0,3,3,3,3,1,3,59%,41%,10 (4),8 (2),0.4,0.2,0.6,0.2,0.6,0.2,"1 Wojciech Szczesny_2 Michal Pazdan_4 Thiago Cionek   OG_13 Maciej Rybus_20 Lukasz Piszczek_7 Arkadiusz Milik_19 Piotr Zielinski_10 Grzegorz Krychowiak  
 _9 Robert Lewandowski_11 Kamil Grosicki_16 Jakub Blaszczykowski",16 Khadim N'Diaye_3 Kalidou Koulibaly_6 Salif Sané  _12 Youssouf Sabaly_22 Moussa Wagué_13 Alfred N'Diaye_5 Idrissa Gueye  _10 Sadio Mané_18 Ismaïla Sarr_19 M'Baye Niang  _9 Mame Biram Diouf,28.857142857142858,0.12288285267849779,0.1908474058737812,0.06732658734387201,22844.0,0.0,0.0,0.0,0.0,0.0
20180619,Russia,3,Egypt,1,11,10,1,1,0,0,0,0,7,4,0,1,46%,54%,11 (3),13 (1),0.2,0.2,-0.2,0.0,0.4,-1.0,1 Igor Akinfeev_4 Sergey Ignashevich_3 Ilya Kutepov_18 Yury Zhirkov_2 Mário Fernandes_17 Aleksandr Golovin_11 Roman Zobnin_8 Iury Gazinsky_22 Artem Dzyuba  _6 Denis Cheryshev  _19 Aleksandr Samedov,23 Mohamed El-Shenawy_6 Ahmed Hegazi_2 Ali Gabr_13 Mohamed Abdel-Shafy_7 Ahmed Fathi   OG_19 Abdalla Said_8 Tarek Hamed_17 Mohamed Elneny_9 Marwan Mohsen_21 Trezeguet  _10 Mohamed Salah  ,0.0,0.0,0.0,0.0,0.0,27.0,0.07157738095238095,0.04732142857142857,0.11758241758241757,12381.0
20180620,Portugal,1,Morocco,0,19,23,1,1,0,0,1,1,5,7,4,1,46%,54%,10 (2),16 (4),0.2,0.6,0.0,0.6,0.2,0.8,1 Rui Patrício_6 José Fonte_3 Pepe_5 Raphaël Guerreiro_21 Cédric Soares_14 William Carvalho_8 João Moutinho_10 João Mário_11 Bernardo Silva_7 Cristiano Ronaldo  _17 Gonçalo Guedes,12 Munir_4 Manuel da Costa_5 Medhi Benatia  _2 Achraf Hakimi_17 Nabil Dirar_10 Younès Belhanda_14 Mbark Boussoufa_8 Karim El Ahmadi_13 Khalid Boutaïb_7 Hakim Ziyech_16 Nordin Amrabat,27.555555555555557,0.06604195896196335,0.14151528229345195,0.0764011767029093,32073.0,27.75,0.058737090749285875,0.07670109133523767,0.08451622354061379,9577.0
20180620,Uruguay,1,Saudi Arabia,0,10,13,0,0,0,0,1,2,3,4,3,3,47%,53%,13 (4),8 (3),0.8,0.0,1.2,0.2,0.0,-1.6,1 Fernando Muslera_3 Diego Godín_2 José Giménez_22 Martín Cáceres_4 Gullermo Varela_6 Rodrigo Bentancur_15 Matías Vecino_7 Cristian Rodríguez_5 Carlos Sánchez_9 Luis Suárez  _21 Edinson Cavani,22 Mohammed Al-Owais_4 Ali Al-Bulayhi_3 Osama Hawsawi_13 Yaseer Al-Shahrani_6 Mohammed Al-Burayk_7 Salman Al-Faraj_14 Abdullah Otayf_17 Taisir Al-Jassim_19 Fahad Al-Muwallad_18 Salem Al-Dawsari_9 Hatan Bahbir,28.833333333333332,0.12571502906554452,0.14082738567274647,0.09183896426164467,26151.0,0.0,0.0,0.0,0.0,0.0
20180620,Iran,0,Spain,1,14,14,2,0,0,0,2,1,2,6,2,0,32%,68%,5 (0),17 (3),0.8,0.0,0.6,0.4,0.6,1.2,1 Alireza Beiranvand_19 Majid Hosseini_8 Morteza Pouraliganji_6 Saeid Ezatolahi_3 Ehsan Hajsafi_23 Ramin Rezaeian_11 Vahid Amiri  _9 Omid Ebrahimi  _10 Karim Ansarifard_17 Mehdi Taremi_20 Sardar Azmoun,1 David De Gea_15 Sergio Ramos_3 Gerard Piqué_5 Sergio Busquets_18 Jordi Alba_2 Dani Carvajal_6 Andrés Iniesta_21 David Silva_22 Isco_11 Lucas Vázquez_19 Diego Costa  ,25.25,0.07696428571428571,0.05262362637362638,0.15789377289377288,6564.0,0.0,0.0,0.0,0.0,0.0
20180621,Denmark,1,Australia,1,7,5,2,0,0,0,1,0,3,5,4,5,48%,52%,10 (5),14 (5),0.6,0.4,0.8,0.4,0.2,0.2,1 Kasper Schmeichel_6 Andreas Christensen_4 Simon Kjaer_17 Jens Stryger Larsen_14 Henrik Dalsgaard_10 Christian Eriksen  _8 Thomas Delaney_19 Lasse Schöne_9 Nicolai Jørgensen_23 Pione Sisto  _20 Yussuf Yurary Poulsen  ,1 Mathew Ryan_5 Mark Milligan_20 Trent Sainsbury_16 Aziz Behich_19 Joshua Risdon_15 Mile Jedinak  _13 Aaron Mooy_10 Robbie Kruse_7 Mathew Leckie_11 Andrew Nabbout_23 Tom Rogic,26.285714285714285,0.09844294644657621,0.10436667407434842,0.04947220267417311,14255.0,0.0,0.0,0.0,0.0,0.0
20180621,France,1,Peru,0,12,14,2,2,0,0,0,1,5,3,2,3,44%,56%,12 (4),10 (2),0.8,0.2,1.4,0.6,0.2,1.2,1 Hugo Lloris_5 Samuel Umtiti_4 Raphaël Varane_21 Lucas Hernández_2 Benjamin Pavard_7 Antoine Griezmann_6 Paul Pogba  _13 N'Golo Kanté_9 Olivier Giroud_14 Blaise Matuidi  _10 Kylian Mbappé  ,1 Pedro Gallese_2 Alberto Rodríguez_15 Christian Ramos_6 Miguel Trauco_17 Luis Advíncula_8 Christian Cueva_19 Yoshimar Yotún_23 Pedro Aquino  _9 Paolo Guerrero  _20 Edison Flores_18 André Carrillo,26.5,0.15664974803990822,0.0858629118783581,0.06790937418797831,24623.0,28.333333333333332,0.040335985397909814,0.07233143563304398,0.128067074322188,26371.0
20180621,Argentina,0,Croatia,3,15,23,3,4,0,0,3,3,5,2,2,3,58%,42%,10 (3),15 (5),0.4,0.2,-0.2,0.6,0.0,0.0,23 Wilfredo Caballero_17 Nicolás Otamendi  _3 Nicolás Tagliafico_2 Gabriel Mercado  _14 Javier Mascherano_15 Enzo Pérez_8 Marcos Acuña  _18 Eduardo Salvio_19 Sergio Agüero_13 Maximiliano Meza_10 Lionel Messi,"23 Danijel Subasic_21 Domagoj Vida_6 Dejan Lovren_11 Marcelo Brozovic_3 Ivan Strinic_2 Sime Vrsaljko  _7 Ivan Rakitic  _10 Luka Modric  _4 Ivan Perisic_18 Ante Rebic  
 _17 Mario Mandzukic  ",29.0,0.09611255573306951,0.023490611442742837,0.17869083523591972,25312.0,29.166666666666668,0.09959200463037292,0.09123599302627435,0.13489183181797185,26971.0
20180622,Brazil,2,Costa Rica,0,11,11,2,1,0,0,3,3,10,1,0,7,69%,31%,23 (9),4 (0),0.8,0.2,1.8,0.2,0.0,-0.8,"1 Alisson_3 Miranda_2 Thiago Silva_12 Marcelo_22 Fagner_5 Casemiro_11 Philippe Coutinho  
 _15 Paulinho_9 Gabriel Jesus_10 Neymar  
 _19 Willian",1 Keylor Navas_3 Giancarlo González_6 Óscar Duarte_2 Johnny Acosta  _20 David Guzmán_5 Celso Borges_8 Bryan Oviedo_16 Cristian Gamboa_21 Marco Ureña_10 Bryan Ruiz_11 Johan Venegas,28.285714285714285,0.23103078793155088,0.17659165369481378,0.1358697366353916,28844.0,29.0,0.0806039407415398,0.04392068330216672,0.16425498662309113,29624.0
20180622,Nigeria,2,Iceland,0,9,10,1,0,0,0,1,0,6,5,3,2,56%,44%,16 (4),10 (3),0.0,0.2,-1.2,0.0,0.4,-1.2,"23 Francis Uzoho_5 William Troost-Ekong_22 Kenneth Omeruo_6 Leon Balogun_8 Oghenekaro Etebo_4 Wilfred Ndidi_10 John Obi Mikel_2 Bryan Idowu  _11 Victor Moses_14 Kelechi Iheanacho_7 Ahmed Musa  
 ",1 Hannes Halldórsson_6 Ragnar Sigurdsson_14 Kári Árnason_18 Hördur Magnússon_2 Birkir Saevarsson_10 Gylfi Sigurdsson_17 Aron Gunnarsson_8 Birkir Bjarnason_19 Rúrik Gíslason_11 Alfred Finnbogason_22 Jón Bödvarsson,23.571428571428573,0.1384020051721915,0.0713064713064713,0.09145450822469457,11201.0,0.0,0.0,0.0,0.0,0.0
20180622,Serbia,1,Switzerland,2,17,12,4,1,0,0,0,3,3,7,3,2,42%,58%,12 (3),20 (5),0.6,0.0,1.0,0.6,0.4,1.8,"1 Vladimir Stojkovic_3 Dusko Tosic_15 Nikola Milenkovic_11 Aleksandar Kolarov_6 Branislav Ivanovic_20 Sergej Milinkovic-Savic  _21 Nemanja Matic  _4 Luka Milivojevic  _9 Aleksandar Mitrovic  
 _17 Filip Kostic_10 Dusan Tadic","1 Yann Sommer_5 Manuel Akanji_22 Fabian Schär_13 Ricardo Rodríguez_2 Stephan Lichtsteiner_15 Blerim Džemaili_10 Granit Xhaka  _11 Valon Behrami_9 Haris Seferović_14 Steven Zuber_23 Xherdan Shaqiri  
 ",27.285714285714285,0.04619123579953073,0.08627496159754225,0.1338473354602387,18299.0,0.0,0.0,0.0,0.0,0.0
20180623,Belgium,5,Tunisia,2,12,13,0,1,0,0,3,3,5,2,3,6,52%,48%,23 (12),15 (5),0.8,0.2,2.6,0.2,0.4,-0.2,"1 Thibaut Courtois_20 Dedryck Boyata_5 Jan Vertonghen_2 Toby Alderweireld_6 Axel Witsel_7 Kevin De Bruyne_11 Yannick Carrasco_15 Thomas Meunier_9 Romelu Lukaku  
 _10 Eden Hazard  
 _14 Dries Mertens",1 Farouk Ben Mustapha_4 Yassine Meriah_2 Syam Ben Youssef_12 Ali Maâloul_11 Dylan Bronn  _17 Ellyes Skhiri_7 Saif-Eddine Khaoui_13 Ferjani Sassi  _10 Wahbi Khazri  _9 Anice Badri_8 Fakhreddine Ben Youssef,27.375,0.13349471673847363,0.17867070362276227,0.06494536178273967,38637.0,25.833333333333332,0.09156046290192632,0.04525954525954526,0.07663203272959371,11062.0
20180623,South Korea,1,Mexico,2,24,7,4,0,0,0,0,0,7,5,3,5,42%,58%,17 (6),13 (5),0.2,0.2,-0.6,0.4,0.2,-0.2,23 Jo Hyeon-Woo_19 Kim Young-Gwon  _20 Jang Hyun-Soo_12 Kim Min-Woo_2 Lee Yong  _17 Lee Jae-Sung_16 Ki Sung-Yueng_8 Ju Se-Jong_7 Son Heung-Min  _11 Hwang Hee-Chan_18 Moon Seon-Min,13 Guillermo Ochoa_15 Héctor Moreno_3 Carlos Salcedo_23 Jesús Gallardo_21 Edson Álvarez_11 Carlos Vela  _18 Andrés Guardado_16 Héctor Herrera_14 Javier Hernández  _22 Hirving Lozano_7 Miguel Layún,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180623,Germany,2,Sweden,1,12,13,0,2,1,0,5,2,8,3,4,4,71%,29%,16 (5),8 (6),0.2,0.2,-0.4,0.2,0.4,-0.2,"1 Manuel Neuer_16 Antonio Rüdiger_17 Jérôme Boateng  
 _3 Jonas Hector_18 Joshua Kimmich_11 Marco Reus  _8 Toni Kroos  _19 Sebastian Rudy_9 Timo Werner_7 Julian Draxler_13 Thomas Müller",1 Robin Olsen_4 Andreas Granqvist_3 Victor Lindelöf_6 Ludwig Augustinsson_2 Mikael Lustig_8 Albin Ekdal  _7 Sebastian Larsson  _10 Emil Forsberg_17 Viktor Claesson_9 Marcus Berg_20 Ola Toivonen  ,26.333333333333332,0.2061632032649671,0.18433967414269345,0.04261326466287742,27908.0,28.428571428571427,0.09645284197857021,0.13455027883100565,0.0821573151388696,23710.0
20180624,England,6,Panama,1,14,13,1,3,0,0,3,0,3,2,1,1,57%,43%,12 (7),8 (2),0.8,0.2,1.0,0.2,0.2,-1.8,"1 Jordan Pickford_5 John Stones  
 _6 Harry Maguire_2 Kyle Walker_8 Jordan Henderson_7 Jesse Lingard  _21 Ruben Loftus-Cheek  _18 Ashley Young_12 Kieran Trippier_9 Harry Kane  
  _10 Raheem Sterling",1 Jaime Penedo_4 Fidel Escobar  _5 Román Torres_6 Gabriel Gómez_15 Érick Davis_2 Michael Murillo  _20 Aníbal Godoy_11 Armando Cooper  _21 José Luis Rodríguez_8 Édgar Bárcenas_7 Blas Pérez,26.25,0.049107142857142856,0.21023954049868684,0.07909064334369212,12799.0,0.0,0.0,0.0,0.0,0.0
